market_id,city,state_name,state_code,latitude,longitude,year,population,home_value,population_growth_1yr_pct,population_growth_5yr_pct,home_value_growth_1yr_pct,home_value_cagr_3yr_pct,home_value_cagr_5yr_pct,permitted_units,permits_per_1000_population,permit_growth_1yr_pct,homes_sold,homes_sold_growth_1yr_pct,avg_inventory,inventory_growth_1yr_pct,avg_months_of_supply,avg_sale_to_list_pct,activity_months,growth_score,demand_score,supply_score,baseline_score,growth_heavy_score,demand_heavy_score,supply_light_score,avg_scenario_score,baseline_rank,growth_heavy_rank,demand_heavy_rank,supply_light_rank,avg_rank,rank_range,rank_stddev,national_baseline_rank,national_robust_rank,state_baseline_rank,state_robust_rank,created_at
US-3468460,Somerville,New Jersey,NJ,,,2025,14665,544227.09,2.24,18.68,3.06,7.88,8.01,5,0.34,-64.29,332.0,3.43,16.08,5.46,1.8,102.59,12,89.31,79.52,79.13,83.34,84.85,82.4,83.89,83.62,2,1,4,1,2.0,3,1.22,2,1,2,1,2026-09-19 22:18:21.483951+00:00
US-3482120,Woodbury,New Jersey,NJ,,,2025,10130,331899.88,0.18,1.78,4.72,6.85,9.67,0,0.0,,419.0,25.83,26.58,-0.31,2.33,101.13,12,74.11,88.22,93.73,83.96,81.29,84.82,82.43,83.12,1,4,1,3,2.25,3,1.3,1,2,1,2,2026-09-19 22:18:21.483951+00:00
US-3479040,Westfield,New Jersey,NJ,,,2025,32595,1242304.02,0.92,5.52,5.53,7.22,7.87,4,0.12,-76.47,1026.0,2.19,31.75,-14.96,1.24,107.02,12,78.98,80.13,93.49,83.01,81.5,81.79,80.95,81.82,3,3,7,7,5.0,4,2.0,3,3,3,3,2026-09-19 22:18:21.483951+00:00
US-3473020,Tinton Falls,New Jersey,NJ,,,2025,19539,626558.45,0.52,2.28,3.09,5.92,8.65,69,3.53,-13.75,884.0,19.95,28.17,-14.65,1.17,101.13,12,74.87,94.51,62.93,78.76,78.97,83.88,82.51,81.03,9,12,2,2,6.25,10,4.38,9,4,4,4,2026-09-19 22:18:21.483951+00:00
US-3423910,Florham Park,New Jersey,NJ,,,2025,14456,990591.32,0.27,14.76,7.34,7.62,7.13,54,3.74,-15.63,350.0,7.36,12.5,-23.47,1.42,104.49,12,80.41,87.62,61.98,78.33,79.81,81.61,81.81,80.39,12,9,8,4,8.25,8,2.86,12,5,5,5,2026-09-19 22:18:21.483951+00:00
US-1760352,Plano,Illinois,IL,,,2025,12677,304205.79,0.11,6.48,4.59,6.19,8.21,4,0.32,100.0,443.0,8.58,25.17,5.59,2.15,100.07,12,82.72,79.17,79.56,80.69,81.18,80.29,80.81,80.74,6,5,14,9,8.5,9,3.5,6,6,1,1,2026-09-19 22:18:21.483951+00:00
US-3471430,Summit,New Jersey,NJ,,,2025,23314,1317004.16,0.18,3.05,8.77,6.98,7.59,23,0.99,-4.17,742.0,24.92,24.08,15.14,1.28,108.35,12,71.08,96.52,62.46,77.83,77.42,83.78,81.67,80.17,16,16,3,5,10.0,13,6.04,16,7,6,6,2026-09-19 22:18:21.483951+00:00
US-0947290,Middletown,Connecticut,CT,,,2025,48439,354493.97,-0.02,3.16,4.27,7.75,8.95,17,0.35,-15.0,1572.0,10.63,85.5,21.56,2.02,102.45,12,78.64,86.59,65.62,78.17,79.07,81.06,80.92,79.8,13,11,10,8,10.5,5,1.8,13,8,3,1,2026-09-19 22:18:21.483951+00:00
US-0950370,New Britain,Connecticut,CT,,,2025,76286,296331.84,0.81,4.59,4.06,8.11,10.08,4,0.05,-98.37,1690.0,0.66,89.67,-3.58,1.95,103.39,12,82.32,73.99,90.95,81.56,81.12,79.03,79.44,80.29,4,6,21,12,10.75,17,6.61,4,9,1,2,2026-09-19 22:18:21.483951+00:00
US-4221648,Easton,Pennsylvania,PA,,,2025,30402,372800.42,0.01,8.32,2.24,4.59,7.49,0,0.0,-100.0,815.0,13.35,44.67,49.72,2.02,100.56,12,79.72,86.18,63.35,77.89,79.21,80.82,80.99,79.73,15,10,13,6,11.0,9,3.39,15,10,4,1,2026-09-19 22:18:21.483951+00:00
US-4223584,Emmaus,Pennsylvania,PA,,,2025,12514,384739.72,2.34,7.56,3.51,4.95,6.88,0,0.0,-100.0,386.0,3.76,10.25,-3.15,1.0,101.55,12,72.17,82.09,95.07,81.37,78.58,81.06,78.92,79.98,5,13,11,18,11.75,13,4.66,5,11,1,2,2026-09-19 22:18:21.483951+00:00
US-0908420,Bristol,Connecticut,CT,,,2025,62341,338446.66,0.35,2.63,3.85,8.44,9.66,46,0.74,24.32,2286.0,6.13,111.25,10.24,1.78,103.28,12,77.35,83.49,69.78,77.61,78.06,79.59,79.35,78.65,18,15,19,13,16.25,6,2.38,18,12,4,3,2026-09-19 22:18:21.483951+00:00
US-2046000,Merriam,Kansas,KS,,,2025,11509,321223.03,-0.02,3.77,2.96,4.62,6.76,3,0.26,200.0,419.0,13.24,10.83,-6.47,1.0,100.94,12,63.68,91.2,86.64,79.05,75.38,82.26,78.36,78.77,8,35,5,20,17.0,30,11.81,8,13,1,1,2026-09-19 22:18:21.483951+00:00
US-4248376,Mechanicsburg,Pennsylvania,PA,,,2025,10037,403769.73,0.81,8.11,3.53,4.12,7.04,11,1.1,-73.81,500.0,11.11,25.0,2.74,1.97,100.68,12,74.8,85.16,71.41,77.58,77.4,79.99,79.12,78.52,19,17,17,16,17.25,3,1.09,19,14,5,3,2026-09-19 22:18:21.483951+00:00
US-3404180,Beachwood,New Jersey,NJ,,,2025,11340,457047.54,0.55,4.25,2.89,6.98,10.07,6,0.53,-66.67,388.0,10.23,17.5,22.81,1.66,99.55,12,81.43,80.69,62.18,76.36,78.32,78.13,79.17,77.99,25,14,27,14,20.0,13,6.04,25,15,8,7,2026-09-19 22:18:21.483951+00:00
US-4480780,Woonsocket,Rhode Island,RI,,,2025,44580,386097.98,0.38,3.29,-0.24,5.63,8.25,28,0.63,7.69,1252.0,22.99,68.83,42.66,2.05,101.04,12,76.11,90.58,50.27,74.72,76.58,80.19,80.04,77.88,34,21,16,10,20.25,24,8.84,34,16,1,1,2026-09-19 22:18:21.483951+00:00
US-2525485,Gardner,Massachusetts,MA,,,2025,21483,372048.66,-0.15,1.29,1.42,6.25,8.63,9,0.42,28.57,690.0,4.7,27.75,-1.19,1.51,101.26,12,70.46,83.15,81.81,77.74,75.97,79.14,77.31,77.54,17,24,20,26,21.75,9,3.49,17,17,1,1,2026-09-19 22:18:21.483951+00:00
US-3404750,Bellmawr,New Jersey,NJ,,,2025,11874,316245.77,0.32,1.52,2.18,6.91,9.38,8,0.67,-27.27,370.0,4.52,14.75,4.12,1.45,101.36,12,72.98,83.04,75.63,77.16,76.39,78.91,77.77,77.56,21,22,22,23,22.0,2,0.71,21,18,7,8,2026-09-19 22:18:21.483951+00:00
US-4252584,Nanticoke,Pennsylvania,PA,,,2025,10712,166405.99,0.16,1.0,5.93,7.78,9.8,0,0.0,,390.0,22.26,19.75,-14.44,1.88,98.33,12,70.5,76.81,100.0,80.08,76.82,78.39,76.29,77.89,7,20,24,41,23.0,34,12.14,7,19,2,4,2026-09-19 22:18:21.483951+00:00
US-5340840,Lynnwood,Washington,WA,,,2025,42132,776936.48,1.65,9.3,-1.31,2.78,7.04,79,1.88,-85.23,1030.0,14.06,38.17,23.78,1.35,100.51,12,76.14,90.56,47.87,74.12,76.23,79.83,79.8,77.5,41,23,18,11,23.25,30,11.1,41,20,1,1,2026-09-19 22:18:21.483951+00:00
US-4223016,Elizabethtown,Pennsylvania,PA,,,2025,11961,357797.36,0.07,2.63,4.03,4.96,6.9,11,0.92,-47.62,415.0,19.25,8.83,3.92,0.79,102.23,12,62.55,95.52,72.4,76.55,73.92,82.16,78.37,77.75,23,47,6,19,23.75,41,14.82,23,21,6,5,2026-09-19 22:18:21.483951+00:00
