market_id,city,state_name,state_code,latitude,longitude,year,population,home_value,population_growth_1yr_pct,population_growth_5yr_pct,home_value_growth_1yr_pct,home_value_cagr_3yr_pct,home_value_cagr_5yr_pct,permitted_units,permits_per_1000_population,permit_growth_1yr_pct,homes_sold,homes_sold_growth_1yr_pct,avg_inventory,inventory_growth_1yr_pct,avg_months_of_supply,avg_sale_to_list_pct,activity_months,growth_score,demand_score,supply_score,baseline_score,growth_heavy_score,demand_heavy_score,supply_light_score,avg_scenario_score,baseline_rank,growth_heavy_rank,demand_heavy_rank,supply_light_rank,avg_rank,rank_range,rank_stddev,national_baseline_rank,national_robust_rank,state_baseline_rank,state_robust_rank,created_at
US-4874492,University Park,Texas,TX,,,2025,25323,2378731.85,-0.3,0.28,5.57,7.71,12.39,52,2.05,-20.0,739.0,30.57,68.67,4.04,3.52,96.97,12,66.99,56.6,62.54,62.24,63.21,60.61,61.87,61.98,387,415,595,501,474.5,208,81.27,387,416,3,1,2026-09-19 22:18:21.483951+00:00
US-4838896,Kennedale,Texas,TX,,,2025,10626,386276.51,-1.13,24.97,-2.05,-1.2,5.35,8,0.75,0.0,258.0,23.44,27.83,10.96,4.11,98.3,12,61.34,58.99,68.83,62.39,61.76,61.17,61.03,61.59,381,504,555,563,500.75,182,72.75,381,441,2,2,2026-09-19 22:18:21.483951+00:00
US-4837216,Jacksonville,Texas,TX,,,2025,14658,218646.74,-0.03,4.51,-7.46,1.73,6.85,30,2.05,233.33,299.0,9.93,48.08,5.87,6.04,99.61,12,66.64,55.76,61.3,61.5,62.58,59.86,61.21,61.29,427,452,654,544,519.25,227,89.17,427,465,4,3,2026-09-19 22:18:21.483951+00:00
US-4861892,Richmond,Texas,TX,,,2025,13389,383850.94,0.83,15.18,-2.44,-0.67,6.27,11,0.82,-88.78,477.0,17.2,58.75,-10.31,4.74,94.68,12,69.41,42.44,79.7,62.54,62.86,56.12,58.3,59.96,375,435,943,795,637.0,568,238.77,375,594,1,4,2026-09-19 22:18:21.483951+00:00
US-4830644,Grapevine,Texas,TX,,,2025,50714,550315.46,-1.17,-0.11,-0.99,2.13,7.21,40,0.79,33.33,1477.0,13.01,109.08,16.46,2.75,98.06,12,53.86,63.45,63.54,59.63,58.19,60.58,59.14,59.39,541,794,598,725,664.5,253,100.13,541,620,5,5,2026-09-19 22:18:21.483951+00:00
US-4847700,Mercedes,Texas,TX,,,2025,17915,142655.37,2.43,10.13,-4.23,4.04,7.7,279,15.57,4.1,211.0,34.39,64.58,-0.9,11.78,96.18,12,83.55,43.12,37.59,57.91,64.52,54.42,60.76,59.4,687,325,1085,579,669.0,760,273.78,687,629,8,6,2026-09-19 22:18:21.483951+00:00
US-4873710,Trophy Club,Texas,TX,,,2025,13695,701029.52,-0.4,-0.5,-3.06,0.87,7.63,29,2.12,38.1,712.0,18.86,53.25,17.9,2.85,98.03,12,56.08,65.08,50.7,57.88,57.97,60.22,59.59,58.92,690,819,624,678,702.75,195,71.57,690,670,9,7,2026-09-19 22:18:21.483951+00:00
US-4874144,Tyler,Texas,TX,,,2025,113723,251877.07,1.04,7.1,-0.86,1.66,6.4,270,2.37,-22.19,3652.0,6.91,531.83,15.3,5.44,99.7,12,65.52,54.35,50.94,57.97,59.98,57.19,59.04,58.54,683,631,843,734,722.75,212,78.4,683,692,7,8,2026-09-19 22:18:21.483951+00:00
US-4865516,San Juan,Texas,TX,,,2025,37868,182518.62,1.53,7.07,-1.72,2.35,7.52,303,8.0,-16.53,680.0,22.3,181.83,47.83,10.01,98.72,12,78.62,54.1,14.3,53.96,61.62,55.49,61.16,58.05,1038,516,1001,551,776.5,522,243.67,1038,748,20,9,2026-09-19 22:18:21.483951+00:00
US-4812532,Canyon,Texas,TX,,,2025,16518,295537.03,0.77,10.7,0.94,2.29,5.84,84,5.09,121.05,615.0,4.95,57.58,6.14,3.78,99.43,12,62.22,56.96,46.66,56.49,58.31,56.99,58.3,57.52,798,783,856,797,808.5,73,28.06,798,777,11,10,2026-09-19 22:18:21.483951+00:00
US-4868636,Socorro,Texas,TX,,,2025,38787,208557.99,0.12,12.01,1.98,3.78,8.04,72,1.86,-36.84,853.0,-14.96,109.75,7.33,4.78,98.9,12,86.99,24.91,61.45,58.88,64.53,49.01,56.5,57.23,606,323,1575,936,860.0,1252,466.34,606,830,6,11,2026-09-19 22:18:21.483951+00:00
