Region,Period_Begin,Date,Homes_Sold,Median_Sale_Price,Median_DOM,Sale_to_List_Pct,Share_Sold_Above_List_Pct,New_Listings,Active_Listings,Inventory,Pending_Sales,Median_Sale_Price_Per_SqFt,Months_of_Supply,Pct_Off_Market_2_Weeks,City,Year,Month,YearMonth,Homes_Sold_YoY_Pct,Inventory_YoY_Pct,DOM_YoY_Change,New_Listings_YoY_Pct,Pending_Sales_YoY_Pct
"Anna, TX",2018-01-01,2018-03-31,129.0,233490.0,39.0,98.62,16.28,158.0,259.0,102.0,167.0,121.7,2.4,36.53,Anna,2018,3,2018-03,,,,,
"Anna, TX",2018-02-01,2018-04-30,145.0,236000.0,42.0,98.75,14.48,179.0,272.0,101.0,183.0,123.13,2.1,39.89,Anna,2018,4,2018-04,,,,,
"Anna, TX",2018-03-01,2018-05-31,169.0,235900.0,36.0,98.85,18.34,179.0,279.0,92.0,194.0,123.13,1.7,42.78,Anna,2018,5,2018-05,,,,,
"Anna, TX",2018-04-01,2018-06-30,173.0,234900.0,36.0,99.11,21.39,190.0,288.0,116.0,185.0,123.13,2.0,43.24,Anna,2018,6,2018-06,,,,,
"Anna, TX",2018-05-01,2018-07-31,168.0,234145.0,34.0,99.09,26.79,195.0,293.0,128.0,167.0,122.72,2.3,45.51,Anna,2018,7,2018-07,,,,,
"Anna, TX",2018-06-01,2018-08-31,147.0,234390.0,32.0,99.01,21.09,221.0,309.0,154.0,165.0,121.98,3.2,40.61,Anna,2018,8,2018-08,,,,,
"Anna, TX",2018-07-01,2018-09-30,126.0,238500.0,36.0,98.98,17.46,206.0,317.0,171.0,151.0,120.98,4.2,34.44,Anna,2018,9,2018-09,,,,,
"Anna, TX",2018-08-01,2018-10-31,116.0,230900.0,41.0,98.77,11.21,182.0,308.0,167.0,151.0,120.18,4.4,30.46,Anna,2018,10,2018-10,,,,,
"Anna, TX",2018-09-01,2018-11-30,120.0,229945.0,47.0,98.65,11.67,142.0,290.0,147.0,136.0,121.36,3.7,23.53,Anna,2018,11,2018-11,,,,,
"Anna, TX",2018-10-01,2018-12-31,136.0,229495.0,48.0,98.97,13.97,146.0,313.0,155.0,136.0,121.85,3.5,27.21,Anna,2018,12,2018-12,,,,,
"Anna, TX",2018-11-01,2019-01-31,124.0,229250.0,50.0,98.85,12.1,139.0,300.0,156.0,128.0,121.64,3.9,22.66,Anna,2019,1,2019-01,,,,,
"Anna, TX",2018-12-01,2019-02-28,116.0,230900.0,57.0,98.77,12.07,147.0,288.0,155.0,128.0,121.57,4.0,25.78,Anna,2019,2,2019-02,,,,,
"Anna, TX",2019-01-01,2019-03-31,110.0,231950.0,69.0,98.72,8.18,165.0,313.0,155.0,164.0,119.41,4.2,28.05,Anna,2019,3,2019-03,-14.72868217054264,51.96078431372548,30.0,4.430379746835444,-1.7964071856287456
"Anna, TX",2019-02-01,2019-04-30,143.0,237000.0,64.0,99.03,14.69,196.0,347.0,165.0,191.0,124.6,3.4,35.08,Anna,2019,4,2019-04,-1.379310344827589,63.36633663366336,22.0,9.49720670391061,4.371584699453557
"Anna, TX",2019-03-01,2019-05-31,166.0,239810.0,47.0,99.09,13.86,226.0,373.0,173.0,204.0,125.11,3.2,31.86,Anna,2019,5,2019-05,-1.7751479289940808,88.04347826086956,11.0,26.25698324022345,5.154639175257736
"Anna, TX",2019-04-01,2019-06-30,176.0,237500.0,36.0,99.02,16.48,234.0,385.0,175.0,208.0,127.57,3.0,27.88,Anna,2019,6,2019-06,1.7341040462427681,50.86206896551724,0.0,23.15789473684211,12.432432432432439
"Anna, TX",2019-05-01,2019-07-31,200.0,235950.0,41.0,98.77,11.5,229.0,389.0,168.0,211.0,126.3,2.6,21.33,Anna,2019,7,2019-07,19.047619047619047,31.25,7.0,17.43589743589744,26.347305389221564
"Anna, TX",2019-06-01,2019-08-31,206.0,235450.0,47.0,98.8,9.22,222.0,387.0,169.0,203.0,127.21,2.5,23.65,Anna,2019,8,2019-08,40.136054421768705,9.740259740259738,15.0,0.4524886877828038,23.030303030303024
"Anna, TX",2019-07-01,2019-09-30,192.0,235450.0,51.0,98.58,5.73,202.0,370.0,171.0,191.0,127.03,2.7,21.99,Anna,2019,9,2019-09,52.38095238095237,0.0,15.0,-1.9417475728155331,26.490066225165563
"Anna, TX",2019-08-01,2019-10-31,168.0,236950.0,50.0,98.61,5.95,196.0,360.0,159.0,182.0,128.75,2.9,22.53,Anna,2019,10,2019-10,44.827586206896555,-4.790419161676651,9.0,7.692307692307687,20.529801324503303
"Anna, TX",2019-09-01,2019-11-30,163.0,238900.0,52.0,98.52,7.36,166.0,331.0,142.0,181.0,130.49,2.6,21.55,Anna,2019,11,2019-11,35.83333333333334,-3.401360544217691,5.0,16.901408450704224,33.08823529411764
"Anna, TX",2019-10-01,2019-12-31,175.0,238900.0,58.0,98.71,8.0,158.0,324.0,132.0,171.0,130.68,2.3,19.3,Anna,2019,12,2019-12,28.676470588235304,-14.83870967741936,10.0,8.219178082191792,25.735294117647058
"Anna, TX",2019-11-01,2020-01-31,165.0,239900.0,57.0,99.08,6.67,133.0,289.0,116.0,155.0,126.14,2.2,20.0,Anna,2020,1,2020-01,33.06451612903225,-25.64102564102564,7.0,-4.316546762589923,21.09375
"Anna, TX",2019-12-01,2020-02-29,139.0,239990.0,59.0,99.15,7.19,141.0,278.0,116.0,158.0,126.09,2.5,22.15,Anna,2020,2,2020-02,19.82758620689655,-25.161290322580644,2.0,-4.081632653061229,23.4375
"Anna, TX",2020-01-01,2020-03-31,137.0,251000.0,54.0,98.9,8.76,162.0,289.0,146.0,153.0,129.49,3.2,32.03,Anna,2020,3,2020-03,24.545454545454536,-5.8064516129032295,-15.0,-1.8181818181818188,-6.707317073170726
"Anna, TX",2020-02-01,2020-04-30,133.0,255000.0,50.0,98.63,12.03,164.0,275.0,141.0,143.0,134.76,3.2,32.17,Anna,2020,4,2020-04,-6.99300699300699,-14.54545454545455,-14.0,-16.326530612244895,-25.130890052356026
"Anna, TX",2020-03-01,2020-05-31,127.0,253990.0,42.0,98.69,15.75,176.0,286.0,126.0,162.0,134.32,3.0,30.86,Anna,2020,5,2020-05,-23.493975903614462,-27.16763005780347,-5.0,-22.123893805309734,-20.588235294117652
"Anna, TX",2020-04-01,2020-06-30,128.0,250495.0,52.0,99.26,27.34,191.0,330.0,130.0,205.0,132.87,3.1,30.73,Anna,2020,6,2020-06,-27.27272727272727,-25.71428571428571,16.0,-18.37606837606838,-1.4423076923076872
"Anna, TX",2020-05-01,2020-07-31,163.0,251730.0,43.0,99.47,30.06,218.0,353.0,110.0,241.0,130.12,2.1,31.95,Anna,2020,7,2020-07,-18.500000000000007,-34.523809523809526,2.0,-4.8034934497816595,14.218009478672977
"Anna, TX",2020-06-01,2020-08-31,208.0,252241.0,44.0,99.52,24.52,219.0,342.0,97.0,233.0,129.27,1.4,35.62,Anna,2020,8,2020-08,0.9708737864077666,-42.603550295857985,-3.0,-1.3513513513513487,14.778325123152714
"Anna, TX",2020-07-01,2020-09-30,216.0,250000.0,34.0,99.48,23.61,180.0,305.0,85.0,193.0,130.52,1.2,35.23,Anna,2020,9,2020-09,12.5,-50.29239766081872,-17.0,-10.89108910891089,1.0471204188481575
"Anna, TX",2020-08-01,2020-10-31,210.0,251745.0,31.0,99.32,22.38,172.0,277.0,76.0,180.0,131.66,1.1,41.11,Anna,2020,10,2020-10,25.0,-52.20125786163522,-19.0,-12.244897959183676,-1.098901098901095
"Anna, TX",2020-09-01,2020-11-30,175.0,251999.0,28.0,99.3,32.0,145.0,238.0,70.0,159.0,135.84,1.2,41.51,Anna,2020,11,2020-11,7.361963190184051,-50.70422535211267,-24.0,-12.650602409638555,-12.154696132596687
"Anna, TX",2020-10-01,2020-12-31,180.0,263201.0,32.0,99.2,33.89,137.0,221.0,46.0,163.0,134.04,0.8,45.4,Anna,2020,12,2020-12,2.857142857142847,-65.15151515151516,-26.0,-13.291139240506332,-4.678362573099415
"Anna, TX",2020-11-01,2021-01-31,150.0,267130.0,32.0,99.45,44.67,147.0,217.0,45.0,175.0,134.13,0.9,52.0,Anna,2021,1,2021-01,-9.090909090909093,-61.206896551724135,-25.0,10.526315789473696,12.903225806451623
"Anna, TX",2020-12-01,2021-02-28,156.0,267900.0,33.0,99.77,46.15,141.0,209.0,36.0,161.0,139.61,0.7,60.25,Anna,2021,2,2021-02,12.230215827338121,-68.96551724137932,-26.0,0.0,1.8987341772152
"Anna, TX",2021-01-01,2021-03-31,129.0,274900.0,25.0,100.47,59.69,131.0,177.0,26.0,138.0,144.12,0.6,70.29,Anna,2021,3,2021-03,-5.839416058394164,-82.1917808219178,-29.0,-19.135802469135797,-9.80392156862745
"Anna, TX",2021-02-01,2021-04-30,126.0,275745.0,18.0,101.52,64.29,100.0,145.0,38.0,101.0,146.18,0.9,75.25,Anna,2021,4,2021-04,-5.263157894736848,-73.04964539007092,-32.0,-39.02439024390244,-29.370629370629374
"Anna, TX",2021-03-01,2021-05-31,113.0,290900.0,15.0,102.98,71.68,125.0,161.0,51.0,113.0,144.58,1.4,82.3,Anna,2021,5,2021-05,-11.023622047244096,-59.523809523809526,-27.0,-28.97727272727273,-30.246913580246915
"Anna, TX",2021-04-01,2021-06-30,135.0,300000.0,13.0,104.42,68.89,140.0,166.0,48.0,124.0,157.0,1.1,80.65,Anna,2021,6,2021-06,5.46875,-63.07692307692307,-39.0,-26.701570680628272,-39.51219512195122
"Anna, TX",2021-05-01,2021-07-31,149.0,304000.0,14.0,104.75,70.47,167.0,205.0,67.0,137.0,161.21,1.4,75.91,Anna,2021,7,2021-07,-8.588957055214719,-39.090909090909086,-29.0,-23.39449541284404,-43.15352697095436
"Anna, TX",2021-06-01,2021-08-31,160.0,307200.0,14.0,104.41,69.38,183.0,234.0,57.0,172.0,161.58,1.1,70.93,Anna,2021,8,2021-08,-23.076923076923073,-41.23711340206185,-30.0,-16.43835616438356,-26.18025751072961
"Anna, TX",2021-07-01,2021-09-30,166.0,330000.0,16.0,103.14,61.45,213.0,261.0,71.0,179.0,167.16,1.3,73.74,Anna,2021,9,2021-09,-23.148148148148152,-16.470588235294116,-18.0,18.333333333333336,-7.253886010362698
"Anna, TX",2021-08-01,2021-10-31,147.0,340000.0,17.0,102.5,57.14,228.0,295.0,94.0,197.0,173.94,2.0,72.59,Anna,2021,10,2021-10,-30.000000000000004,23.684210526315795,-14.0,32.558139534883715,9.444444444444455
"Anna, TX",2021-09-01,2021-11-30,157.0,343900.0,17.0,102.27,55.41,205.0,262.0,65.0,199.0,179.84,1.3,68.34,Anna,2021,11,2021-11,-10.285714285714286,-7.14285714285714,-11.0,41.37931034482758,25.15723270440251
"Anna, TX",2021-10-01,2021-12-31,156.0,350500.0,17.0,102.33,66.67,214.0,283.0,62.0,227.0,184.43,1.2,67.4,Anna,2021,12,2021-12,-13.33333333333333,34.78260869565217,-15.0,56.204379562043805,39.26380368098159
"Anna, TX",2021-11-01,2022-01-31,157.0,354900.0,17.0,102.28,68.15,175.0,268.0,57.0,213.0,185.95,1.1,67.14,Anna,2022,1,2022-01,4.666666666666663,26.66666666666666,-15.0,19.047619047619047,21.714285714285708
